"IDBRANCA","COD_BRANCA","IDBRANCA_PADRE","DESC_BRANCA","LIVELLO","PREMESSE","IDNOMENCLATORE"
"97",,"14","Diagnostica ostetrica","1",,"1"
"98",,"14","Diagnostica otorinolaringoiatrica","1",,"1"
"99",,"14","Diagnostica urologica ed endoscopica","1",,"1"
"100",,"15","Diagnostica senologica","1",,"1"
"101",,"15","Diagnostica chirurgica","1",,"1"
"102",,"15","Diagnostica oro – maxillo – facciale","1",,"1"
"103",,"15","Diagnostica toraco – polmonare","1",,"1"
"104",,"15","Diagnostica gastroenterologica ed endoscopica","1",,"1"
"105",,"15","Diagnostica ginecologica","1",,"1"
"106",,"15","Diagnostica ortopedica","1",,"1"
"107",,"15","Diagnostica ostetrica","1",,"1"
"108",,"15","Diagnostica otorinolaringoiatrica","1",,"1"
"109",,"15","Diagnostica urologica ed endoscopica","1",,"1"
"110",,"15","Diagnostica dell'apparato genitale maschile","1",,"1"
"159","22",,"LENTI E OCCHIALI","0",,"1"
"160","23","14","PACCHETTO CHIRURGICO","1","LA MODALITÀ DI RIMBORSO A PACCHETTO, PER LE PRESTAZIONI/PROCEDURE DI SEGUITO RIPORTATE, SOSTITUISCE LA MODALITÀ DI RIMBORSO EFFETTUATA ANALITICAMENTE PER SINGOLO CODICE.
LA PRESTAZIONE A PACCHETTO PREVEDE UN UNICO IMPORTO DI RIMBORSO,ED È OMNICOMPRENSIVO DI: ÉQUIPE MEDICA E/O PERSONALE DI SUPPORTO (TECNICI/AUSILIARI ECC.), SALA OPERATORIA/SALA AMBULATORIALE/SALA OPERATORIA AMBULATORIALE (IN FUNZIONE DELLA TIPOLOGIA DI PACCHETTO), PERMANENZA NELLA STRUTTURA (OVE PREVISTA), STRUMENTAZIONE/APPARECCHIATURE NECESSARIE PER L’ESECUZIONE DELLE PROCEDURE STESSE E DI QUELLE AD ALTO COSTO (OVE PREVISTE), MATERIALI, MEDICINALI, EVENTUALE PROTESI (PER GLI INTERVENTI CHE LE PREVEDONO), ANALISI ED ACCERTAMENTI RELATIVI ALL’INTERVENTO STESSO ED ESEGUITI INTRA RICOVERO, PRIMI TRATTAMENTI RIABILITATIVI POST-INTERVENTO ED INTRA-RICOVERO OVE PREVISTI.","1"
"161","23",,"PACCHETTI CHIRURGICI","0","LA MODALITÀ DI RIMBORSO A PACCHETTO SOSTITUISCE LA MODALITÀ DI RIMBORSO EFFETTUATA ANALITICAMENTE PER SINGOLO CODICE. LA PRESTAZIONE A PACCHETTO PREVEDE UN UNICO IMPORTO DI RIMBORSO ED È OMNICOMPRENSIVO DI: ÉQUIPE MEDICA E/O PERSONALE DI SUPPORTO (TECNICI/AUSILIARI ECC.), SALA OPERATORIA/SALA AMBULATORIALE/SALA OPERATORIA AMBULATORIALE (IN FUNZIONE DELLA TIPOLOGIA DI PACCHETTO), PERMANENZA NELLA STRUTTURA (OVE PREVISTA), STRUMENTAZIONE/APPARECCHIATURE NECESSARIE PER L’ESECUZIONE DELLE PROCEDURE STESSE E DI QUELLE AD ALTO COSTO (OVE PREVISTE), MATERIALI, MEDICINALI, EVENTUALE PROTESI (PER GLI INTERVENTI CHE LE PREVEDONO), ANALISI ED ACCERTAMENTI RELATIVI ALL’INTERVENTO STESSO ED ESEGUITI INTRA-RICOVERO, PRIMI TRATTAMENTI RIABILITATIVI POST-INTERVENTO ED INTRA-RICOVERO OVE PREVISTI. SI PRECISA CHE NEL CASO DI PACCHETTI, QUANTO ACCETTATO DALLA STRUTTURA SANITARIA ALL’ATTO DEL CONVENZIONAMENTO, RAPPRESENTA IL MASSIMO FATTURABILE PREVISTO PER QUELLA DETERMINATA PROCEDURA/INTERVENTO CHIRURGICO.","1"
"162","24",,"PACCHETTI ACCERTAMENTI/TERAPIE","0","LA MODALITÀ DI RIMBORSO A PACCHETTO SOSTITUISCE LA MODALITÀ DI RIMBORSO EFFETTUATA ANALITICAMENTE PER SINGOLO CODICE. LA PRESTAZIONE A PACCHETTO PREVEDE UN UNICO IMPORTO DI RIMBORSO ED È OMNICOMPRENSIVO DELLE PRESTAZIONI (ACCERTAMENTI E/O TERAPIE) CONCORRENTI ALLA MEDESIMA FINALITÀ SANITARIA, PROPEDEUTICHE O SUCCESSIVE ALLA FRUIZIONE DI INTERVENTI CHIRURGICI A PACCHETTO, PER LE QUALI È PREVISTO UN RIMBORSO FORFETTARIO.","1"
"167",,"161","PACCHETTO GASTROENTEROLOGIA","1",,"1"
